Locus_Index,Panmixia_TI,Panmixia_BTI,Panmixia_HS,Full_TI,Full_BTI,Full_HS,DGF3_TI,DGF3_BTI,DGF3_HS
177,-556.58,-550.79,-543.67,-561.82,-556.19,-547.05,-561.6,-555.83,-546.48
178,-600.73,-591.83,-568.39,-605.95,-597.55,-571.44,-603.39,-593.94,-572.28
179,-443.54,-439.12,-432.29,-448.58,-444.03,-436.12,-445.88,-441.25,-433.84
180,-1719.87,-1082.83,-694.34,-2070.62,-1159.23,-719.01,-2072.5,-1161.63,-718.4
181,-661.81,-655.24,-655.82,-669.45,-662.71,-662.51,-666.93,-660.26,-660.32
182,-421.8,-417.55,-415.17,-423.74,-419.35,-417.95,-421.83,-417.39,-416.88
183,-446.39,-441.92,-436.7,-453.13,-448.73,-441.06,-452.05,-447.6,-439.8
184,-442.13,-437.4,-426.75,-444.81,-440.12,-429.9,-442.73,-437.82,-428.24
185,-466.03,-461.05,-457.24,-467.81,-462.81,-459.44,-465.59,-460.5,-457.53
186,-438.65,-433.33,-421.44,-444.31,-439.83,-424.71,-443.72,-438.87,-423.36
187,-1760.83,-1089.05,-701.4,-2126.1,-1166.44,-711.84,-2133.9,-1177.77,-717.17
188,-461.06,-455.77,-444.51,-466.6,-461.84,-447.21,-463.47,-458.66,-444.91
189,-459,-453.41,-438.02,-464.9,-460.46,-440.25,-462.95,-458.23,-439.21
190,-503.77,-497,-470.93,-507.59,-502.05,-473.63,-508.36,-502.44,-474.96
191,-1598.87,-1027.71,-658.41,-1920.99,-1099.95,-676.3,-1921.18,-1101.98,-678.24
192,-351.31,-347.82,-345.57,-354.92,-351.34,-349.35,-352.66,-349.09,-347.43
193,-459.45,-453.77,-441.63,-464.64,-459.9,-444.52,-464,-459.01,-443.83
194,-440.26,-435.76,-429.03,-445.09,-440.67,-432.31,-442.69,-438.26,-430.45
195,-443.8,-439.33,-437.37,-447.8,-443.27,-441.25,-444.96,-440.47,-438.75
196,-514.45,-502.39,-477.26,-517.8,-506.98,-478.5,-518.11,-508.33,-478.12
197,-467.19,-453.51,-444.59,-467.57,-454.85,-446.91,-463.7,-450.18,-444.5
198,-437.04,-429.81,-401.93,-441.62,-436.44,-404.5,-444.51,-439.1,-404.66
199,-485.88,-480.85,-479.46,-490.74,-485.65,-483.98,-488.68,-483.62,-482.5
200,-465,-456.95,-439.39,-467.12,-459.51,-441.7,-464.57,-456.5,-440.29
201,-546.45,-520.37,-462.83,-552.29,-530.49,-465.42,-550.26,-527.9,-463.78
202,-445.3,-440.65,-434.99,-449.7,-445.04,-438.5,-447.16,-442.42,-436.25
203,-608.9,-571.71,-524.87,-610.85,-577.77,-526.82,-611.96,-579.29,-526.74
204,-519.92,-512.24,-475.49,-530.29,-524.15,-482.05,-529.75,-523.18,-482.57
205,-487.32,-478.94,-446.86,-495.24,-488.48,-450.19,-494.88,-487.8,-451.64
206,-472.73,-467.83,-464.66,-475.35,-470.36,-467.63,-473.08,-468.04,-465.92
207,-1662.71,-1045.16,-663.58,-2004.47,-1122.53,-690.9,-2013.01,-1133.25,-697.56
208,-488.08,-481.47,-463.93,-492.65,-487.29,-465.26,-491.05,-485.44,-463.21
209,-1657.05,-1023.33,-644.96,-2000.31,-1095.05,-656.55,-2007.91,-1105.75,-668.29
210,-506.27,-500.43,-475.74,-514.02,-508.48,-480.43,-512.43,-506.72,-481.18
